name
 
 
Agnes
Alice
Anita
Anna
Anne
Anneliese
Annelise
Annemarie
Anni
Anny
Barbara
Berta
Bertha
Brigitte
Brunhilde
Carla
Catharina
Charlotte
Christa
Christel
Clara
Dora
Dorothea
Edeltraud
Edeltraut
Edith
Eleonore
Elisabeth
Ella
Ellen
Elli
Elly
Elsa
Elsbeth
Else
Emma
Emmi
Emmy
Erica Elfriede
Erika
Erna
Eva
Frida
Frieda
Gerda
Gertraud
Gertrud
Gisela
Gretchen
Grete
Grethe
Hanna
Hannah
Hannelore
Hedwig
Helene
Helga
Hella
Herta
Hertha
Hilda
Hilde
Hildegard
Ilse
Inge
Ingeborg
Ingeburg
Ingrid
Irene
Irma
Irmgard
Johanna
Jutta
KŠthe
Karla
Katarina
Katharina
Klara
Kristel
Lidia
Lieselotte
Lilli
Lilly
Lisa
Liselotte
Lore
Lotte
Louise
Luise
Lydia
Magda
Magdalena
Magdalene
Marga
Margareta
Margarete
Margaretha
Margarethe
Margot
Maria
Marianne
Marie
Marta
Martha
Meta
Olga
Paula
Renate
Rita
Rosa
Rosemarie
Ruth
Siegrid
Sigrid
Sonja
Thea
Traute
Ursula
Vera
Walli
Wally
Waltraud
Waltraut
Wera
Wilma
