callsign
ABBY
ABENAKI
ABIDE
ABLE
ABLOW
ABNORMAL
ABRUM
ABSTAIN
ABYSS
ACCOUNTANT
ACCURA
ACER
ACES
ACKER
ACME
ACROBAT
ACT
ACTIVE
ACTON
ACURA
ADAM
ADDAM
ADDER
ADIN
ADIOS
ADLER
ADMAN
ADOBE
ADORN
ADVANCE
ADVICE
AEGIS
AERO
AEROMET
AFGHAN
AFTON
AGAR
AGEING
AGILE
AGIO
AGONY
AGRAM
AGUILA
AHAB
AIRGUN
AIRWOLF
AKELA
AKEX
AKSARBEN
AKULA
ALABAMA
ALAMO
ALBATROSS
ALBERT
ALGA
ALGER
ALGUM
ALKYD
ALLEY
ALLEYCAT
ALLOY
ALMIGHTY
ALMUG
ALOMA
ALOUETTE
ALTA
ALTER
ALVA
AMAIN
AMBA
AMBARCHIK
AMBER
AMBUSH
AMERICAN
AMINO
AMIRI
AMMO
AMOR
AMWAY
ANARCH
ANCHOR
ANDERSON
ANDY
ANGEL
ANGER
ANGLE
ANGRY
ANGUS
ANIMAL
ANITA
ANKARA
ANKER
ANKLE
ANTAR
ANTE
ANTIC
ANTLER
ANVIL
ANVIS
ANZAC
APACHE
APEA
APEX
APOLLO
APRIL
AQUA
ARBY
ARCH
ARCHER
ARCO
ARCTIC
ARCTOS
ARGONAUT
ARGUS
ARIA
ARIES
ARIS
ARKADA
ARKTIK
ARMOR
ARMY
ARNOLD
ARRIS
ARROW
ARSAF
ARTER
ARTLY
ARVEL
ASCOT
ASENA
ASGARD
ASHER
ASPEN
ASSAULT
ASSISTANT
ASTRA
ASTRO
ATAC
ATARI
ATHENA
ATILLA
ATLANTIDA
ATLAS
ATOKA
ATOMIC
ATTACK
AUGGIE
AUSSIE
AUSTIN
AUTEC
AUTO
AVALANCHE
AVALON
AVATAR
AVENGER
AVENGING
AVRO
AVRORA
AWARD
AWOKE
AXEF
AXEMAN
AXEOPS
AXIS
AZAZ
BABS
BACK
BACKSPIN
BACKSTOP
BACKY
BACON
BADBOY
BADER
BADGER
BAFFIN
BAFFLE
BAFVAR
BAHRAIN
BAJA
BAJI
BALANS
BALDHEAD
BALKY
BALL
BALLAD
BALLS
BALTIMORE
BAMA
BAMBAM
BAMBO
BAMBOO
BAND
BANDAGE
BANDIT
BANDSAW
BANDWAGON
BANE
BANG
BANGER
BANGOR
BANIA
BANJO
BANK
BANKER
BANKS
BANSHEE
BANTA
BANTER
BANYAN
BANYAP
BANZAI
BARB
BARBA
BARBARIC
BARD
BARK
BARLEY
BARN
BARNEY
BARON
BARRACUDA
BARRANQUILLA
BARREL
BARRIER
BART
BARTH
BARTOK
BASCO
BASH
BASHER
BASTARD
BATCAVE
BATMAN
BATON
BATONE
BATS
BATT
BATTER
BATTLE
BATTLECAT
BATTLESTAR
BATTLING
BAYONET
BAYRIDE
BAYSIDE
BAYWATCH
BAZOO
BEACH
BEACHBALL
BEAGLE
BEAK
BEAMER
BEAR
BEARMAT
BEARS
BEAST
BEATRA
BEAVER
BEAVIS
BEBOP
BEDLAM
BEEF
BEEFEATER
BEEHIVE
BEELINER
BEER
BEETLE
BELITE
BELL
BEMA
BENDER
BENDY
BENGAL
BENT
BERRY
BERT
BERTA
BERTH
BESERK
BEST
BETA
BETH
BETRA
BETSY
BEZERK
BICEP
BIDDY
BIGBEND
BIGBIRD
BIGCAT
BIGCHIE
BIGEASY
BIGFOOT
BIGGET
BIGTOP
BIKER
BILK
BILLA
BILLFISH
BILLO
BILLY
BILOXI
BINAL
BINGO
BIRCH
BIRD
BIRTH
BISOM
BISON
BIXBY
BLACK
BLACKBIRD
BLACKFISH
BLACKHAWK
BLACKJACK
BLACKSHEEP
BLACKSMITH
BLADE
BLADEMAN
BLASTER
BLAY
BLAZE
BLAZER
BLEED
BLINDER
BLITZ
BLOB
BLOKE
BLOND
BLOODHOUND
BLOWER
BLOWN
BLUE
BLUEBIRD
BLUES
BLURB
BLUTO
BOAR
BOAT
BOBBIE
BOBBY
BOBCAT
BOBTAIL
BODE
BOGEY
BOGUE
BOILER
BOISE
BOLA
BOLAR
BOLD
BOLERO
BOLES
BOLO
BOLT
BOLTAG
BOMA
BOMAR
BOMBER
BONA
BOND
BONE
BONES
BONG
BONNIE
BONNO
BONSI
BONUS
BONZAI
BONZO
BOOK
BOOKER
BOOKIE
BOOKSHELF
BOOM
BOOMER
BOONDOCKS
BOOT
BORA
BORAGE
BORER
BORG
BORON
BOSCO
BOSEN
BOSOX
BOSS
BOUNCER
BOWIE
BOXCAR
BOXER
BOZZ
BRACER
BRADY
BRAG
BRANDY
BRANDYWINE
BRASS
BRAT
BRAVE
BRAWLER
BRAY
BREM
BREVET
BREW
BREWER
BRICE
BRICK
BRICKSTON
BRICKWALL
BRICKYARD
BRIG
BRIGG
BRIGHAM
BRIM
BRINEY
BRISTOL
BRIZE
BROAD
BROADWAY
BROCHURE
BROCK
BROKE
BRONCO
BRONK
BRONZE
BROODY
BROOK
BROOM
BRSVARI
BRUISER
BRUSH
BRUTAL
BRUTIS
BUBBA
BUCANERO
BUCK
BUCKEYE
BUCKO
BUCKSHOT
BUCKY
BUDDHA
BUDDY
BUDMAN
BUFF
BUFFOON
BUGGY
BUGSY
BUICK
BUILD
BULB
BULL
BULLDOG
BULLET
BULLFROG
BULLIT
BULLSEYE
BULLY
BUMPY
BUNCH
BUNK
BUOY
BURGER
BURGLAR
BURMA
BURNER
BURNING
BURR
BURSA
BURT
BUSCH
BUSH
BUSHMASTER
BUST
BUSTER
BUTCH
BUTLER
BUYER
BUZAIN
BUZZ
BUZZARD
BUZZSAW
BUZZY
BYLAW
CABAL
CABBY
CABIN
CACTI
CACTUS
CADDO
CADDY
CADE
CADON
CADS
CAESAR
CAESER
CAFE
CAGEY
CAJUN
CALDERA
CALUMET
CALVIN
CAMAY
CAMBER
CAMEL
CAMELBACK
CAMELOT
CAMERA
CAMPO
CAMSLANT
CAMSPAC
CANDO
CANDOR
CANE
CANFORCE
CANINE
CANNON
CANOE
CANTER
CANUCK
CANVAS
CANYON
CAPE
CAPEX
CAPGREA
CAPITAL
CAPITOL
CAPITOLE
CAPKITT
CAPOA
CAPON
CAPRA
CAPROCK
CAPS
CAPSTONE
CAPWEST
CARBON
CARBONATE
CARD
CARDFILE
CARGO
CARLO
CARLY
CARMEN
CARNY
CARP
CARPET
CARR
CARSON
CARTEL
CARTY
CARVER
CASA
CASE
CASEY
CASH
CASINO
CASIO
CASKET
CASS
CASTLE
CASTRO
CATBIRD
CATCAY
CATFISH
CATMAN
CATS
CAULDRON
CAVE
CAVEMAN
CECIL
CEDAR
CEEBEE
CHAIN
CHAL
CHALLENGER
CHALLIS
CHAMP
CHAOS
CHAPPS
CHAPPY
CHAPS
CHARGER
CHARIOT
CHARLIE
CHARM
CHARTER
CHARTROOM
CHASER
CHASTISE
CHEATER
CHECK
CHECKER
CHECKERBOARD
CHECKMATE
CHEETAH
CHEMO
CHENA
CHEROKEE
CHERRY
CHESDA
CHESTAID
CHESTY
CHETA
CHETAH
CHETH
CHEVY
CHICKEN
CHICO
CHIEF
CHIEFS
CHILI
CHILL
CHIME
CHINA
CHINARA
CHINDIT
CHIP
CHIPPY
CHISEL
CHISUM
CHOCK
CHOCKS
CHOICE
CHOMP
CHOSEN
CHRIS
CHROME
CHUCK
CHUG
CHUGGS
CHURCH
CIDER
CINDY
CIPHER
CIRCUS
CISCO
CITY
CLAM
CLAN
CLASSIC
CLAUS
CLAW
CLEAN
CLEARWATER
CLEAT
CLETUS
CLIMAX
CLOAK
CLOCK
CLOG
CLOP
CLOSEOUT
CLOUT
CLOVE
CLOVER
CLOWN
CLUB
CLUBLEAF
CLUCK
CLUE
CLUNY
CNATRA
COACH
COAST
COASTAL
COASTGUARD
COBALT
COBB
COBBY
COBRA
COCHISE
COCK
COCO
CODA
CODER
CODY
COFFEE
COFFIN
COHIBA
COHO
COIL
COKE
COLBY
COLD
COLONEL
COLT
COLUMBUS
COMAL
COMANCHE
COMBAT
COMBO
COMER
COMET
COMFY
COMMA
COMMANDO
COMMCON
COMMPAC
COMOX
COMSERON
CONAN
CONDA
CONDO
CONDOR
CONE
CONFORM
CONGO
CONIC
CONNER
CONVICT
CONVOY
COOKY
COOL
COOP
COORS
COPE
COPPER
COPPERHEAD
COPYRIGHT
CORAL
CORD
CORN
CORNHUSKER
CORONA
CORSAIR
CORSO
CORVETTE
COSMIK
COSMO
COSMOS
COSO
COSTLY
COTAM
COUGAR
COUNT
COUPON
COURAGE
COURAGEOUS
COVERT
COVET
COVEY
COWBOY
COYOTE
CRAB
CRACK
CRACKER
CRAFT
CRAG
CRANE
CRANK
CRANKY
CRAZE
CRAZY
CRAZYHORSE
CREECH
CREEK
CREEP
CREOLE
CREST
CREW
CRICJET
CRIMSON
CRISCO
CRISP
CROC
CROME
CRONUS
CROOK
CROOKED
CROSSBOW
CROW
CROWN
CRUD
CRUMPET
CRUNCH
CRUSTY
CRYSTAL
CUBA
CUBAN
CUBE
CUCKOO
CUDA
CUDDA
CUERVO
CUFMY
CUJO
CULDROSE
CULT
CUMMINS
CUPPY
CURE
CURL
CUSHION
CUSHY
CUSTER
CUTLASS
CUTTHROAT
CUTTY
CUTWORK
CYBER
CYBORG
CYCLONE
CYLON
CYNIC
CZECH
DABBA
DACTYL
DAEVAR
DAFDUTC
DAGDA
DAGGER
DAGO
DAGON
DAGRAT
DAILY
DAKOTA
DALLAS
DALLY
DAME
DAMON
DANDA
DANDER
DANGEROUS
DANNO
DANTE
DANTIC
DAPPER
DARE
DARING
DARK
DARKSTAR
DARKWING
DART
DARTER
DARTH
DARYL
DASH
DATSUN
DATUM
DAVEN
DAVEY
DAVLENIE
DAWG
DAYLIGHT
DAZZLE
DEAAIR
DEAD
DEADEYE
DEADLY
DEALER
DEATH
DECAY
DECK
DECOY
DEECEE
DEED
DEEJAY
DEEP
DEER
DEERLODGE
DEFENDER
DEFIANT
DEFT
DEFY
DEKANAT
DELCO
DELER
DELIVERANCE
DELVE
DEMO
DEMON
DEMUS
DENALI
DENIM
DENT
DEPOT
DERBY
DERMA
DERRICK
DESERT
DESTROYER
DETERMINED
DETONE
DETOX
DETROIT
DEUCE
DEVIL
DEVISE
DEVO
DEVON
DEWEY
DEXTER
DIALECT
DIAMOND
DIAMONDBACK
DICE
DICEY
DIDDY
DIDO
DILL
DILLON
DIME
DINAR
DINGO
DINO
DIPPER
DIRCA
DIRGO
DIRK
DIRT
DIRTY
DISCO
DITTO
DITTY
DIVE
DIVER
DIXIE
DOBBY
DOCK
DODGE
DOG
DOGFISH
DOGGY
DOGHOUS
DOGPATCH
DOGPOUN
DOGS
DOGSTAR
DOGUC
DOGWOOD
DOJO
DOLLAR
DOLLY
DOME
DOMINION
DOMINO
DONG
DONNA
DOOM
DOROZHNIJ
DORY
DOUBLE
DOUBLESHOT
DOUD
DOUGHBOY
DOWN
DOWNFALL
DOWNY
DOZER
DRAA
DRAB
DRAC
DRACO
DRAD
DRAE
DRAF
DRAFT
DRAG
DRAGNET
DRAGO
DRAGON
DRAGONFIRE
DRAGONFISH
DRAW
DRAX
DREAD
DREADNOUGHT
DREAMLAND
DREY
DROP
DROPKICK
DROSS
DRUM
DRYDEN
DRYER
DUBAI
DUCE
DUCK
DUCKY
DUDE
DUECE
DUFF
DUKE
DUMBO
DUNMORE
DUPE
DUPLE
DUSTER
DUSTY
DUTCH
DYNO
EAGLE
EARL
EARTHQUAKE
EAST
EASY
ECHO
ECLES
EDDIE
EDGAR
EDGE
EDGY
EGYPTIAN
ELCID
ELGIN
ELTON
ELVAN
ELVIS
EMBARGO
EMERALD
EMMET
EMPIRE
ENERGY
ENJEP
ENTRY
EPIC
EPOXY
ESKAN
ESSEX
ESSO
ETHER
ETHYL
EUCHRE
EUREKA
EURO
EVAC
EVADE
EVADER
EVAL
EVEN
EVENT
EVIL
EVISTRES
EXAM
EXCALIBUR
EXCITE
EXECUTIVE
EXILE
EXOR
EXPERT
EXPO
EXPRESS
EXTENDER
EXUDE
EXULT
EXXON
FADE
FAFVAR
FAGIN
FAIL
FAISAN
FAITHFUL
FALCON
FALLS
FAME
FAMOUS
FANG
FANGO
FANGS
FANTOP
FARAD
FARMER
FAROUT
FARVA
FAST
FATLY
FAULT
FAZE
FAZER
FEAR
FEARLESS
FELIX
FELON
FEMUR
FEND
FENIX
FETCH
FEUD
FEVER
FEWER
FIAT
FIBER
FIDDLE
FIDO
FIEND
FIERCE
FIGHTING
FILO
FINCH
FINDER
FIRE
FIREBIRD
FIREBRAND
FIREHAWK
FIREISPRESENT
FIREWOOD
FIRM
FIRST
FISHER
FIST
FITCH
FIXER
FLAG
FLANKER
FLAP
FLASH
FLAT
FLEAGLE
FLEX
FLEYTA
FLINT
FLIP
FLITE
FLORIDA
FLOSS
FLOUT
FLOYD
FLUBBER
FLUFF
FLUG
FLUKY
FLUME
FLUSH
FLYING
FLYNET
FLYTRON
FLYUGER
FOCUS
FOGHORN
FOGPATCH
FOIL
FOLIC
FOLKLORE
FONG
FONT
FOOD
FORAY
FORCE
FORGE
FORKS
FORTRESS
FORWARD
FOSS
FOUL
FOUND
FOURNEY
FOXDEN
FOXDOG
FOXTROT
FOXXY
FOXY
FRAG
FRANK
FRATE
FRAY
FREAK
FRED
FREDDY
FREE
FREEBIE
FREEBIRD
FREEDOM
FREEMASON
FREIGHT
FRESCA
FREYJA
FRIED
FRILL
FRIZZ
FROM
FRONTLINE
FROST
FROSTY
FROZEN
FRVVARI
FUELER
FUJIN
FULL
FULLCARD
FUNGO
FUNNY
FUROR
FURR
FURRY
FURY
FUSS
FUZZ
FUZZY
GABT
GADGET
GAFVAR
GAGE
GAIN
GAINER
GALAXY
GALE
GALLANT
GAMBLE
GAMBLER
GAME
GAMMA
GAMVAR
GANDER
GANGSTER
GANTSEC
GARBY
GARDUA
GARGOYLE
GARTH
GASLIGHT
GASMAN
GASPAR
GASPIPE
GASSER
GASSY
GATE
GATES
GATOR
GAUCHO
GAWKY
GECKO
GEIST
GELD
GELT
GENUS
GEOD
GEORGE
GEORGIA
GERONIMO
GERT
GETTY
GETUP
GEYSER
GHOST
GHOSTRIDER
GIANT
GIDEON
GILLY
GINGER
GINZU
GITMO
GLANE
GLARE
GLASS
GLEAN
GLEX
GLIDA
GLIDE
GLOBAL
GLOBE
GLORY
GNARL
GNARLY
GOAL
GOAT
GOATEE
GOBA
GOBBER
GOBLIN
GOBO
GOFER
GOGGLE
GOLAN
GOLD
GOLDDIGGER
GOLDEN
GOLDENROD
GOLDFINCH
GOLF
GOLLY
GOMER
GOMIN
GONDOLA
GONZO
GOOD
GOODWRENCH
GOODY
GOOF
GOOFY
GOONY
GOOSE
GOPACK
GOPHER
GORAL
GORBY
GORDO
GORDON
GORGON
GORTEX
GOSH
GOTHAM
GOURD
GOYA
GRABBY
GRACELAND
GRADY
GRAGON
GRAND
GRANITE
GRANT
GRAPPA
GRASSLANDS
GRAY
GRAYKNO
GREASY
GREAT
GREEN
GREG
GREMLIN
GREY
GREYDER
GREYHAWK
GREYHOUND
GREYKNOT
GRIFFIN
GRIM
GRIT
GRITS
GRITTY
GRITZ
GRIZZLEY
GRIZZLY
GROAT
GROOVY
GROUCH
GROUND
GROUNDHOG
GROUP
GROUT
GROWL
GROWN
GRUB
GRUMAN
GRUMMAN
GRUMP
GRUMPY
GRUNT
GRUP
GUARDIAN
GUCCI
GUDA
GUILDER
GUINNESS
GULL
GUMBY
GUMMY
GUMP
GUNDOG
GUNFIGHTER
GUNHOG
GUNMAN
GUNNER
GUNNY
GUNRUNNER
GUNS
GUNSHIP
GUNSHOT
GUNSHY
GUNSLINGER
GUNSMITH
GUNSMOKE
GUNSTAR
GUNTRAIL
GUNTRAIN
GURK
GURNSEY
GUSS
GUTS
GYPSY
HABITAT
HABNO
HADES
HAFVAR
HAGAR
HAIL
HAITI
HAKE
HALE
HALIBUT
HALIFAX
HALKIRT
HALL
HALO
HAMBONE
HAMMER
HAMMERHEAD
HAMMERING
HAMPSHIRE
HANG
HANGMAN
HANGOVER
HANK
HAPPY
HARD
HARDBALL
HARDY
HARLEY
HARLY
HARM
HARMO
HARNESS
HARRIER
HART
HASSLE
HATCH
HATE
HATED
HATMAN
HATTRIC
HAVEN
HAVOC
HAWAIIAN
HAWG
HAWK
HAWKER
HAWKEYE
HAWKS
HAZARD
HAZE
HAZZARD
HEAD
HEADMASTER
HEARSE
HEART
HEAT
HEFTY
HEINZ
HELGA
HELIX
HELL
HELLA
HELLCAT
HELLION
HEMPY
HENDO
HENHOUS
HENRY
HERC
HERKY
HERMA
HERMES
HERO
HERSHEY
HEWIT
HEWY
HEXAD
HICK
HIFI
HIGH
HIGHLAND
HIGHLANDER
HIKE
HIKING
HILDA
HILL
HIND
HIPPO
HIPPY
HIRAM
HIRE
HITMAN
HIVE
HOAX
HOBBY
HOBEY
HOBIE
HOBO
HOCUS
HOGGER
HOIST
HOKIE
HOKU
HOLE
HOLY
HOMEPLATE
HOMER
HONEY
HONK
HONOR
HOOD
HOODOO
HOOK
HOOKER
HOOPER
HOOSIER
HOOT
HOOTER
HOOVER
HOPE
HOPS
HORN
HORNET
HORNTOAD
HORSE
HORSEMAN
HORUS
HOSER
HOSS
HOSTEL
HOTDOG
HOTEL
HOTLIPS
HOTROD
HOTSAUC
HOTWAX
HOUND
HOUSTON
HOVER
HOWDY
HOWEL
HOWL
HOWLER
HSMST
HUDSON
HUGE
HUGGY
HUGO
HULA
HULK
HUMMER
HUMMINGBIRD
HUNGRY
HUNT
HUNTER
HUNTRESS
HUNTSMAN
HURA
