Surname
Mishura (surname) (Мішура)
Navolsky (Навольський)
Nahnybida (Нагнибіда)
Nahorny (Нагорний)
Nazarenko (Назаренко)
Nazarovich (Назарович)
Nazarchuk (Назарчук)
Nazdratenko (Наздратенко)
Nalyvaiko (Наливайко)
Nalyvaichenko (Наливайченко)
Nepypyvo (Непийпиво)
Netudykhata (Нетудихата)
Nosenko (Носенко)
Oliynyk (Олійник)
Orlyk (Орлик)
Osipenko (Осіпенко)
Ostapets (Остапець)
Onopka (Онопка)
Ostapyuk (Остапиук)
Pavlyshyn (Павлишин)
Pavlovsky (Павловський)
Pavlyuk (Павлюк)
Pavlyuchenko (Павлюченко)
Palinchak (Палінчак)
Pankiv (Паньків)
Panchak (Панчак)
Panchyk (Панчик)
Parkhomenko (Пархоменко)
Pelepchuk (Пелепчук)
Perevozchenko (Перевозченко)
Petraszczuk (Петращук)
Petrenko (Петренко)
Petrynets (Петринець)
Pymonenko (Пимоненко)
Pivtora (Півтора)
Pipenko (Піпенко)
Pirozhenko (Пірошенко)
Plushenko, Plyushenko (Плюшенко)
Pohrebynsky (Погребинський)
Pokotylo (Покотило)
Ponikarovsky (Понікаровський)
Popadynets (Попадинець)
Poroshenko (Порошенко)
Porkhovsky (Порховський)
Potchak (Потчак)
Prokup (Прокуп)
Pshenyanyk (Пшеняник)
Pshyk (Пшик)
Rodchenko (Родченко)
Romanyshyn/Romanyszyn (Романишин)
Roshcha (Роща)
Rudenko (Руденко)
Ryabets (Рябець)
Savaryn (Саварин)
Salenko (Саленко)
Sakhaidachny (Сагайдачний)
Svystun (Свичтун)
Svyshchuk (Свищук)
Serben (Сербен)
Semko (Семко)
Silchenko (Сілченко)
Skoropadskyi (Скоропадський)
Skoryk (Скорик)
Skotsyk (Скоцик)
Skripachuk (Скріпачук)
Skripchenko (Скріпченко)
Skrobala (Скробала)
Smereka (Смерека)
Smeshko (Смешко)
Sokulsky (Сокулський)
Solar (Солар)
Soletsky (Солецький)
Stasiuk (Стасюк)
Stesyshyn (Стесишин)
Stetsko (Стецько)
Strembitsky (Стрембіцький)
Suprunyuk (Супрунюк)
Tamke (Тамке)
Taras (Тарас)
Tarasenko (Тарасенко)
Taruta (Тарута)
Tereshchenko (Терещенко)
Teterya (Тетеря)
Tymko (Тимко)
Tymofichuk (Тимофичук)
Tymoshenko (Тимошенко)
Tymoshchuk (Тимощук)
Tyshchenko (alternate spelling: Tyszczenko) (Тищенко)
Tytovsky (Титовский)
Tytovych (Титович)
Tovkachuk (Товкачук)
Tomenko (Томенко)
Tomorug (Томоруґ)
Tryasylo (Трясило)
Turyn (Турин)
Tyahnybok (Тяагнибок)
Udovenko (Удовенко)
Udovychenko (Удовиченко)
Umanets (Уманець)
Usachenko (Усаченко)
Usenko (Усенко)
Usyk (Усик)
Ustenko (Устенко)
Ustymenko (Устименко)
Ustymovych (Устимович)
Ustyyanovych (Устиянович)
Farion (Фаріон)
Fedirchuk (Федірчук)
Fedorenko (Федоренко)
Fedotenko (Федотенко)
Fedyniak ( Фидиняк)[1]
Felske (Фельске)
Fishchenko (Фіщенко)
Fomenko (Фоменко)
Fochuk (Фочук)
Furon (Фурон)
Khachula (Хачула)
Khymnyuk (Химнюк)
Khomin (Хомін)
Khomyuk (Хом'юк)
Khomiak (Хом'як)
Tsvyk (Цвик)
Tsvyhun (Цвихун)
Tsypkin (Ципкін)
Tsupko (Цупко)
Chykatilo (Чикатіло)
Chovnyk (Човник)
Chornovil (Чорновіл)
Chorney (чорний)
Shastko (Шастко)
Shelestynsky (Шелестинський)
Shevchenko (Шевченко)
Shevchuk (Шевчук)
Shynkarchuk (Шинкарчук)
Shmata (Шмата)
Shchehelskiy (Щегельський)
Shcherba (Щерба)
Shcherbak (Щербак)
Shcherbakivskiy (Щербаківський)
Shcherban (Щербань)
Shcherbatyuk (Щербатюк)
Shchebatskiy (Щербацький)
Shcherbachenko (Щербаченко)
Shcherbyna (Щербина)
Shchernulka (Щернулька)
Shchyrytsya (Щириця)
Shchors (Щорс)
Shchuka (Щука)
Shchurat (Щурат)
Shchurovskiy (Щуровський)
Yulyushek (Юлюшек)
Yurchenko (Юрченко)
Yushchenko (Ющенко)
Yavorsky (Яворський)
Yakimchuk (Якімчук)
Yakovenko (Яковенко)
Yanukovych (Янукович)
Yarema (Ярема)
Yaremchuk (Яремчук)
Yarmolyuk (Ярмолюк)
Yavnyi (Явний)
Yatzko (яцко)
