Name
Альберт (Albert [ɐlʲˈbɛrt]), from Albert, of Germanic origin.
Анатолій (Anatolii, [ɐnɐˈtɔl⁽ʲ⁾ij]), from Anatolius, of Greek origin.
Андрій (Andrii [ɐn⁽ʲ⁾ˈd⁽ʲ⁾r⁽ʲ⁾ij]), equivalent to Andrew, of Greek origin.
Антон (Anton [ɐnˈtɔn])
Антін (Antin [ɐn⁽ʲ⁾ˈt⁽ʲ⁾in]), equivalent to Anthony, of Latin origin.
Аркадій (Arkadii [ɐrˈkɑd⁽ʲ⁾ij]), from Arcadius, of Greek origin.
Арсен (Arsen [ɐrˈsɛn])
Арсеній (Arsenii [ɐrˈsɛn⁽ʲ⁾ij]), from Arsenius, of Greek origin.
Артем (Artem [ɐrˈtɛm]), equivalent to Artemius, of Greek origin.
Артур (Artur [ɐrˈtur]), equivalent to Arthur, of Latin or Celtic origin.
Атанасій (Atanasii [ɐtɐˈnɑs⁽ʲ⁾ij])
Афанасій (Afanasii [ɐfɐˈnɑs⁽ʲ⁾ij])
Опанас (Opanas)
Панас (Panas [pɐˈnɑs]), from Athanasius, of Greek origin.
Богдан (Bohdan [boɦˈdɑn]), of Slavic origin.
Борис (Borys [boˈrɪs]), a pre-Christian Slavic diminutive of Борислав (Boryslav).
Броніслав (Bronislav [bron⁽ʲ⁾iˈslɑu̯])
Боронислав (Boronyslav [boronɪˈslɑu̯]), of Slavic origin.
Вадим (Vadym [wɐˈdɪm]), equivalent to Vadim, of Persian or Slavic origin.
Валентин (Valentyn [wɐlenˈtɪn]), equivalent to Valentine, of Latin origin.
Валерій (Valerii [wɐˈlɛr⁽ʲ⁾ij]), from Valerius, of Latin origin.
Василь (Vasyl' [wɐˈsɪlʲ]), equivalent to Basil, of Greek origin.
Віктор (Viktor [ˈwiktor]), equivalent to Victor, of Latin origin.
Віталій (Vitalii [wiˈtɑl⁽ʲ⁾ij])
Владислав (Vladyslav [u̯lɐdɪˈslɑu̯])
Володислав (Volodyslav [wolodɪˈslɑu̯]), a pre-Christian name of Slavic origin, meaning "lord of fame".
Владлен (Vladlen), of Russian Communist origin (Vladimir Lenin). No longer used.
Володимир (Volodymyr [woloˈdɪmɪr]), a pre-Christian name of Slavic origin, equivalent to Vladimir and Waldemar.
Всеволод (Vsevolod [ˈu̯sɛwolod]), a pre-Christian name of Slavic origin.
В'ячеслав (Viacheslav [u̯jɐtʃeˈslɑu̯]), equivalent to Wenceslaus, a pre-Christian name of Slavic origin.
Геннадій (Hennadii [ɦeˈnːɑd⁽ʲ⁾ij])
Генадій (Henadii [ɦeˈnɑd⁽ʲ⁾ij]), from Gennadius, of Greek origin.
Григорій (Hryhorii [ɦrɪˈɦɔr⁽ʲ⁾ij]), equivalent to Gregory, of Greek origin.
Давид (Davyd [dɐˈwɪd]), from David, of Hebrew origin.
