name
Adolf
Adolph
Albert
Alexander
Alfons
Alfred
Alois
Alwin
Anton
Arno
Arnold
Arthur
Artur
August
Bernhard
Berthold
Bertold
Bodo
Bruno
Carl
Carlheinz
Christian
Claus
Conrad
Curt
Diedrich
Dieter
Dietrich
Eberhard
Edgar
Edmund
Eduard
Egon
Emil
Erhard
Erich
Ernst
Erwin
Ewald
Ferdinand
Franz
Fred
Friedrich
Fritz
Georg
Gerd
Gerhard
Gert
Gottfried
Guenther
Gunter
Gustav
Hans
Harald
Harri
Harry
Heinrich
Heinz
Helmut
Helmuth
Henri
Henry
Herbert
Hermann
Horst
Hubert
Hugo
JŸrgen
Jacob
Jakob
Jan
Joachim
Johann
Johannes
John
Johnny
Jonni
Jonny
Josef
Joseph
Julius
Karl
Karlheinz
Klaus
Konrad
Kristian
Kurt
Leo
Lothar
Ludwig
Manfred
Martin
Max
Michael
Norbert
Oscar
Oskar
Otto
Paul
Peter
Ralf
Ralph
Reinhard
Reinhardt
Reinhold
Richard
Robert
Rolf
Rudi
Rudolf
Rudolph
Siegfried
Sigfried
Theodor
Ullrich
Ulrich
Uwe
Victor
Viktor
Waldemar
Walter
Walther
Werner
Wilfried
Wilhelm
Willfried
Willi
Willy
Wolfgang
